,gbifID,format,identifier,references
12280,3712412359,image/jpeg,https://static.inaturalist.org/photos/117981147/original.jpeg,https://www.inaturalist.org/photos/117981147
12281,3712422814,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/182058882/original.jpeg,https://www.inaturalist.org/photos/182058882
12282,3712467454,image/jpeg,https://static.inaturalist.org/photos/170981597/original.jpeg,https://www.inaturalist.org/photos/170981597
12283,3712467454,image/jpeg,https://static.inaturalist.org/photos/170981546/original.jpeg,https://www.inaturalist.org/photos/170981546
12284,3712467454,image/jpeg,https://static.inaturalist.org/photos/170981570/original.jpeg,https://www.inaturalist.org/photos/170981570
12285,3712467454,image/jpeg,https://static.inaturalist.org/photos/170981615/original.jpeg,https://www.inaturalist.org/photos/170981615
12286,3712467454,image/jpeg,https://static.inaturalist.org/photos/170981532/original.jpeg,https://www.inaturalist.org/photos/170981532
12287,3712467829,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/181927648/original.jpg,https://www.inaturalist.org/photos/181927648
12288,3712467829,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/181927649/original.jpg,https://www.inaturalist.org/photos/181927649
12289,3712467829,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/181927573/original.jpg,https://www.inaturalist.org/photos/181927573
12290,3712471429,image/jpeg,https://static.inaturalist.org/photos/170980886/original.jpeg,https://www.inaturalist.org/photos/170980886
12291,3712479424,image/jpeg,https://static.inaturalist.org/photos/156730636/original.jpeg,https://www.inaturalist.org/photos/156730636
12292,3712479424,image/jpeg,https://static.inaturalist.org/photos/156730616/original.jpeg,https://www.inaturalist.org/photos/156730616
12293,3712479424,image/jpeg,https://static.inaturalist.org/photos/156730622/original.jpeg,https://www.inaturalist.org/photos/156730622
12295,3712548774,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/181947233/original.jpg,https://www.inaturalist.org/photos/181947233
12296,3712548774,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/181947239/original.jpg,https://www.inaturalist.org/photos/181947239
12297,3712614369,image/jpeg,https://static.inaturalist.org/photos/115768180/original.jpeg,https://www.inaturalist.org/photos/115768180
12298,3712643749,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/181807640/original.jpeg,https://www.inaturalist.org/photos/181807640
12300,3712665094,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/182111096/original.jpeg,https://www.inaturalist.org/photos/182111096
12301,3712665094,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/182111107/original.jpeg,https://www.inaturalist.org/photos/182111107
12302,3712678984,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/182061285/original.jpeg,https://www.inaturalist.org/photos/182061285
12303,3712680704,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/182072343/original.jpeg,https://www.inaturalist.org/photos/182072343
12304,3712706399,image/jpeg,https://static.inaturalist.org/photos/135044011/original.jpg,https://www.inaturalist.org/photos/135044011
12305,3712723464,image/jpeg,https://static.inaturalist.org/photos/171661249/original.jpeg,https://www.inaturalist.org/photos/171661249
12306,3712723464,image/jpeg,https://static.inaturalist.org/photos/171661250/original.jpeg,https://www.inaturalist.org/photos/171661250
12307,3712723464,image/jpeg,https://static.inaturalist.org/photos/171661242/original.jpeg,https://www.inaturalist.org/photos/171661242
12308,3712731519,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/181525845/original.jpeg,https://www.inaturalist.org/photos/181525845
12309,3712731519,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/181525869/original.jpeg,https://www.inaturalist.org/photos/181525869
12310,3712731519,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/181525884/original.jpeg,https://www.inaturalist.org/photos/181525884
12311,3712731519,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/181525779/original.jpeg,https://www.inaturalist.org/photos/181525779
12312,3712731519,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/181525941/original.jpeg,https://www.inaturalist.org/photos/181525941
12313,3712743024,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/182082973/original.jpeg,https://www.inaturalist.org/photos/182082973
12314,3716092249,image/jpeg,https://observation.org/photos/25276142.jpg,
12315,3716092249,image/jpeg,https://observation.org/photos/25276140.jpg,
12316,3716092249,image/jpeg,https://observation.org/photos/25276141.jpg,
12317,3716236709,image/jpeg,https://observation.org/photos/23943342.jpg,
12318,3716747824,image/jpeg,https://observation.org/photos/27431584.jpg,
12319,3716894849,image/jpeg,https://observation.org/photos/28187940.jpg,
12320,3717655984,image/jpeg,https://observation.org/photos/29670075.jpg,
12321,3717655984,image/jpeg,https://observation.org/photos/29670076.jpg,
12322,3717655984,image/jpeg,https://observation.org/photos/29185827.jpg,
12323,3717756149,image/jpeg,https://observation.org/photos/30624029.jpg,
12324,3717916199,image/jpeg,https://observation.org/photos/32034331.jpg,
12325,3718130754,image/jpeg,https://observation.org/photos/32373128.jpg,
12326,3718384014,image/jpeg,https://observation.org/photos/30975641.jpg,
12327,3718439589,image/jpeg,https://observation.org/photos/30282897.jpg,
12328,3718464439,image/jpeg,https://observation.org/photos/30300110.jpg,
12329,3718479029,image/jpeg,https://observation.org/photos/32871303.jpg,
12330,3718756604,image/jpeg,https://observation.org/photos/32217488.jpg,
12331,3718827104,image/jpeg,https://observation.org/photos/31871675.jpg,
12332,3718830459,image/jpeg,https://observation.org/photos/33349308.jpg,
12333,3718854754,image/jpeg,https://observation.org/photos/32782658.jpg,
12334,3718979794,image/jpeg,https://observation.org/photos/33101051.jpg,
12335,3719044494,image/jpeg,https://observation.org/photos/33454425.jpg,
12336,3719091474,image/jpeg,https://observation.org/photos/32067346.jpg,
12337,3719091474,image/jpeg,https://observation.org/photos/32067345.jpg,
