,gbifID,format,identifier,references
100,1430266735,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/4/aed01fc2-c6f9-429c-8b1e-268e4740d642_image.jpg,https://www.artportalen.se/Image/1538100
101,1430533940,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/4/641d6bb8-7feb-474f-ac11-d6d7ec6e6743_image.jpg,https://www.artportalen.se/Image/1542053
102,1430626810,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/4/83e2227c-21ce-4367-9f62-1dadb01b8651_image.jpg,https://www.artportalen.se/Image/1543304
103,1431066505,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/5/f07bda1c-89d4-4c67-ae63-63f9d886e9b2_image.jpg,https://www.artportalen.se/Image/1550225
104,1431587600,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/6/bf92d571-45ca-4040-b120-075ddae29512_image.jpg,https://www.artportalen.se/Image/1574540
105,1431711295,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/6/4ac76afe-dd09-4a0d-8cfc-5c6e1982a225_image.jpg,https://www.artportalen.se/Image/1581643
106,1432061485,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/7/12360a99-c10b-40eb-9896-a3ad2cd5f4d1_image.jpg,https://www.artportalen.se/Image/1607558
107,1432435940,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/8/b223880c-1bc1-433e-b4d6-1362485cdc9e_image.jpg,https://www.artportalen.se/Image/1635395
108,1432656705,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/9/c2888847-f4ae-43c2-90e0-1a307f713016_image.jpg,https://www.artportalen.se/Image/1649130
109,1432656705,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/9/b470561b-24c0-4bfb-9880-8a9f6aef55f7_image.jpg,https://www.artportalen.se/Image/1649129
110,1432694515,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/9/3229b20d-72dd-41f1-b87b-10d1642dc261_image.jpg,https://www.artportalen.se/Image/1652060
111,1432695975,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/9/a0db42b1-1656-449e-a975-2656db8d268b_image.jpg,https://www.artportalen.se/Image/1651710
112,1432753490,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/9/5be2907e-fdf9-46dc-87fc-ecb9bf163d8c_image.jpg,https://www.artportalen.se/Image/1655192
113,1432820795,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/9/75cd756a-911c-4268-9c23-fa7252717163_image.jpg,https://www.artportalen.se/Image/1659338
114,1432960660,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/10/21a4fdd6-c45f-41c7-94b4-d89af4a57990_image.jpg,https://www.artportalen.se/Image/1668018
115,1432960660,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/10/1079c590-a903-4407-943e-9118cdd3e201_image.jpg,https://www.artportalen.se/Image/1668017
116,1433039545,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/10/28b157c2-a217-4a68-93ab-43b24a0c8c47_image.jpg,https://www.artportalen.se/Image/1672778
117,1433091330,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/10/ba75d701-1858-4a8d-9694-7da18434d8d1_image.jpg,https://www.artportalen.se/Image/1675800
118,1433093175,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/10/52ba2042-6c2f-4e2f-9d13-72d7081a5e26_image.jpg,https://www.artportalen.se/Image/1676043
119,1433354135,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/11/bd33afeb-9627-4c45-9956-e369981779a9_image.jpg,https://www.artportalen.se/Image/1689821
120,1433842295,image/jpeg,https://www.artportalen.se/MediaLibrary/2017/1/34e79729-1986-47bd-8bfb-47749053218e_image.jpg,https://www.artportalen.se/Image/1706193
121,1433940390,image/jpeg,https://www.artportalen.se/MediaLibrary/2017/1/4e569203-8d2c-4b2e-aad2-1b9d91bdc82f_image.jpg,https://www.artportalen.se/Image/1710426
122,1450418820,image/jpeg,https://www.artportalen.se/MediaLibrary/2017/3/f7de3313-bcf7-4b50-ab7d-77e59d441737_image.jpg,https://www.artportalen.se/Image/1736940
123,1450418820,image/jpeg,https://www.artportalen.se/MediaLibrary/2017/3/7da6fd8b-dd0a-4e83-9d7e-ebf0a36124af_image.jpg,https://www.artportalen.se/Image/1736938
124,1450418820,image/jpeg,https://www.artportalen.se/MediaLibrary/2017/3/3c91a9a5-72a0-4be1-a850-dd43b175a6a4_image.jpg,https://www.artportalen.se/Image/1736939
125,1450421050,image/jpeg,https://www.artportalen.se/MediaLibrary/2017/3/f8fa6bab-6003-4ebf-be81-8b723d603eff_image.jpg,https://www.artportalen.se/Image/1737059
126,1450425120,image/jpeg,https://www.artportalen.se/MediaLibrary/2017/3/9a1a7c74-b8eb-4aac-a3f2-2d5661b829cb_image.jpg,https://www.artportalen.se/Image/1737306
127,1450425205,image/jpeg,https://www.artportalen.se/MediaLibrary/2017/3/b1d8146a-4166-4a0f-b75b-4af79f18de82_image.jpg,https://www.artportalen.se/Image/1737295
128,1450442610,image/jpeg,https://www.artportalen.se/MediaLibrary/2017/3/e2700c07-61cf-4262-b49c-9f751ccf98e7_image.jpg,https://www.artportalen.se/Image/1738707
129,1450442610,image/jpeg,https://www.artportalen.se/MediaLibrary/2017/3/a74cadea-7dcb-4637-b9d1-5d0bf83d4eac_image.jpg,https://www.artportalen.se/Image/1738725
130,1450443770,image/jpeg,https://www.artportalen.se/MediaLibrary/2017/3/6a6459f6-c316-456f-860c-171131e71752_image.jpg,https://www.artportalen.se/Image/1738133
131,1450443770,image/jpeg,https://www.artportalen.se/MediaLibrary/2017/3/b7f794f2-a7be-4bad-b81d-365a0d437d8a_image.jpg,https://www.artportalen.se/Image/1738132
132,1453155825,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/5280300/original.jpg,https://www.inaturalist.org/photos/5280300
133,1453206630,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/5478065/original.jpg,https://www.inaturalist.org/photos/5478065
